question_type,multiple_choice_answer,answers,image_id,answer_type
is the boy,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20072,yes/no
what animal is,bird,"[{'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'bird', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'bird', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'bird', 'answer_confidence': 'no', 'answer_id': 10}]",20072,other
is the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20045,yes/no
what color is the,red,"[{'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 10}]",20045,other
what is the dog,standing,"[{'answer': 'standing on hind legs', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'begging', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'standing up', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'jumping', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'jumping', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'standing on two legs', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'standing', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'waiting for somebody', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'looking at door', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'standing', 'answer_confidence': 'yes', 'answer_id': 10}]",20045,other
is there a,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20167,yes/no
how many birds are,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20167,number
how many,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20167,number
is that,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20191,yes/no
is he,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20191,yes/no
does the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20191,yes/no
what color is the,white,"[{'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'white/purple', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'purple', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 10}]",20089,other
what is in the,wine,"[{'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'wine', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'wine', 'answer_confidence': 'yes', 'answer_id': 10}]",20089,other
what is the woman,dancing,"[{'answer': 'dancing', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'dancing', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'walking', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'dancing', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'laughing', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'dancing', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'dancing', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'dancing', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'scratching her thigh', 'answer_confidence': 'yes', 'answer_id': 10}]",20089,other
what is the,blocks,"[{'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 10}]",20067,other
what is on the,dog,"[{'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 10}]",20067,other
how many plants are,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20067,number
what,hide and seek,"[{'answer': 'peekaboo', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'hide and seek', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'hide and seek', 'answer_confidence': 'yes', 'answer_id': 10}]",20184,other
how,10,"[{'answer': '10', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '100', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '10', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '20', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '20', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '10', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '10', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': '100', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '10', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': '30', 'answer_confidence': 'maybe', 'answer_id': 10}]",20184,number
how many,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20184,number
how many,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20032,number
is there,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20032,yes/no
where is the,ground,"[{'answer': 'in photo', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'on ground', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'ground', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'ground', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'everywhere', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'on ground', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'ground', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'ground', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'all around', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 10}]",20032,other
what color is the,red and white,"[{'answer': 'red, white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'checkered', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'red white', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'white and red', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 10}]",20116,other
what is,steaks,"[{'answer': 'steaks', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'steak', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'steaks', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'steaks', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'meat', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'steak', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'steaks', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'steak', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'steaks', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'steak', 'answer_confidence': 'yes', 'answer_id': 10}]",20116,other
what color is the,blue,"[{'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 10}]",20116,other
will the,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20127,yes/no
what is the girl,marshmallows,"[{'answer': 'marshmallow', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'marshmallow', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'marshmallow', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'marshmallows', 'answer_confidence': 'yes', 'answer_id': 10}]",20127,other
