index,img_id,img_path,qu_id,qu_sentence,qu_tokens,all_ans,valid_ans
25,2469,preprocessed/img\img_train\abstract_v002_train2015_000000002469.png,24691,Does the woman have curly hair?,"['does', 'the', 'woman', 'have', 'curly', 'hair', '?']","['yes', 'no']","['yes', 'no']"
26,2469,preprocessed/img\img_train\abstract_v002_train2015_000000002469.png,24692,Is the woman resting her feet?,"['is', 'the', 'woman', 'resting', 'her', 'feet', '?']",['yes'],['yes']
27,3112,preprocessed/img\img_train\abstract_v002_train2015_000000003112.png,31120,What are the animals?,"['what', 'are', 'the', 'animals', '?']","['deer', 'yes', 'deers']","['deer', 'yes', 'deers']"
28,3112,preprocessed/img\img_train\abstract_v002_train2015_000000003112.png,31121,How many animals are standing?,"['how', 'many', 'animals', 'are', 'standing', '?']",['1'],['1']
29,3112,preprocessed/img\img_train\abstract_v002_train2015_000000003112.png,31122,How many deer are under  a tree?,"['how', 'many', 'deer', 'are', 'under', 'a', 'tree', '?']","['2', '3']","['2', '3']"
30,3885,preprocessed/img\img_train\abstract_v002_train2015_000000003885.png,38850,Is the old lady holding a bike?,"['is', 'the', 'old', 'lady', 'holding', 'a', 'bike', '?']",['yes'],['yes']
31,3885,preprocessed/img\img_train\abstract_v002_train2015_000000003885.png,38851,Are there any mammals in the picture?,"['are', 'there', 'any', 'mammals', 'in', 'the', 'picture', '?']","['yes', '1', '0', '3']","['yes', '1', '0', '3']"
32,3885,preprocessed/img\img_train\abstract_v002_train2015_000000003885.png,38852,Is the bird flying?,"['is', 'the', 'bird', 'flying', '?']","['yes', 'no']","['yes', 'no']"
33,3889,preprocessed/img\img_train\abstract_v002_train2015_000000003889.png,38890,What is on the blanket?,"['what', 'is', 'on', 'the', 'blanket', '?']","['food & cups', 'food', 'picnic', 'food and drinks', 'food, drinks']","['food', 'picnic', 'food and drinks']"
34,3889,preprocessed/img\img_train\abstract_v002_train2015_000000003889.png,38891,What color are the cups?,"['what', 'color', 'are', 'the', 'cups', '?']",['red'],['red']
35,3889,preprocessed/img\img_train\abstract_v002_train2015_000000003889.png,38892,Are there 4 clouds?,"['are', 'there', '4', 'clouds', '?']","['no', '2']","['no', '2']"
36,2851,preprocessed/img\img_train\abstract_v002_train2015_000000002851.png,28512,What can the cat play with?,"['what', 'can', 'the', 'cat', 'play', 'with', '?']","['ball', 'ball of yarn', 'yarn']","['ball', 'ball of yarn', 'yarn']"
37,2851,preprocessed/img\img_train\abstract_v002_train2015_000000002851.png,28510,Is there any sunlight?,"['is', 'there', 'any', 'sunlight', '?']","['yes', 'no']","['yes', 'no']"
38,2851,preprocessed/img\img_train\abstract_v002_train2015_000000002851.png,28511,Is the cat playing with the yarn?,"['is', 'the', 'cat', 'playing', 'with', 'the', 'yarn', '?']",['no'],['no']
39,1189,preprocessed/img\img_train\abstract_v002_train2015_000000001189.png,11890,What is the woman doing?,"['what', 'is', 'the', 'woman', 'doing', '?']","['standing on her hands', 'handstand', 'yoga']","['standing on her hands', 'handstand', 'yoga']"
40,1189,preprocessed/img\img_train\abstract_v002_train2015_000000001189.png,11891,Will the woman fall?,"['will', 'the', 'woman', 'fall', '?']","['yes', 'no']","['yes', 'no']"
41,1189,preprocessed/img\img_train\abstract_v002_train2015_000000001189.png,11892,Why would you say this woman is strong?,"['why', 'would', 'you', 'say', 'this', 'woman', 'is', 'strong', '?']","['yes', 'handstand', 'can lift up on arms', 'headstand', 'can stand on her head', 'she is standing upside down over stool']","['yes', 'handstand', 'can lift up on arms', 'headstand', 'can stand on her head', 'she is standing upside down over stool']"
42,2693,preprocessed/img\img_train\abstract_v002_train2015_000000002693.png,26930,What color is the boy?,"['what', 'color', 'is', 'the', 'boy', '?']","['black', 'tan', 'blue', 'brown', 'white', 'asian', 'caucasian']","['black', 'tan', 'blue', 'brown', 'white', 'asian', 'caucasian']"
43,2693,preprocessed/img\img_train\abstract_v002_train2015_000000002693.png,26931,Is the baby sitting in front of a brown couch?,"['is', 'the', 'baby', 'sitting', 'in', 'front', 'of', 'a', 'brown', 'couch', '?']",['yes'],['yes']
44,2693,preprocessed/img\img_train\abstract_v002_train2015_000000002693.png,26932,How many couches are there?,"['how', 'many', 'couches', 'are', 'there', '?']",['2'],['2']
45,557,preprocessed/img\img_train\abstract_v002_train2015_000000000557.png,5570,Are there people playing?,"['are', 'there', 'people', 'playing', '?']",['no'],['no']
46,557,preprocessed/img\img_train\abstract_v002_train2015_000000000557.png,5571,Is it sunny?,"['is', 'it', 'sunny', '?']",['yes'],['yes']
47,557,preprocessed/img\img_train\abstract_v002_train2015_000000000557.png,5572,What color is the sand?,"['what', 'color', 'is', 'the', 'sand', '?']","['beige', 'tan', 'brown', 'brown and purple']","['beige', 'tan', 'brown', 'brown and purple']"
48,2125,preprocessed/img\img_train\abstract_v002_train2015_000000002125.png,21250,What color are the flowers on the curtain?,"['what', 'color', 'are', 'the', 'flowers', 'on', 'the', 'curtain', '?']","['red and orange', 'tan', 'red', 'orange and red', 'yellow, orange and pink', 'brown', 'pink']","['red and orange', 'tan', 'red', 'orange and red', 'brown', 'pink']"
49,2125,preprocessed/img\img_train\abstract_v002_train2015_000000002125.png,21251,Is the dog sleeping?,"['is', 'the', 'dog', 'sleeping', '?']",['no'],['no']
50,2125,preprocessed/img\img_train\abstract_v002_train2015_000000002125.png,21252,Is the window a rectangle?,"['is', 'the', 'window', 'a', 'rectangle', '?']","['yes', 'no']","['yes', 'no']"
51,3288,preprocessed/img\img_train\abstract_v002_train2015_000000003288.png,32880,What color is the fire?,"['what', 'color', 'is', 'the', 'fire', '?']",['orange'],['orange']
52,3288,preprocessed/img\img_train\abstract_v002_train2015_000000003288.png,32881,Is she eating?,"['is', 'she', 'eating', '?']",['no'],['no']
53,3288,preprocessed/img\img_train\abstract_v002_train2015_000000003288.png,32882,Is this daytime?,"['is', 'this', 'daytime', '?']","['yes', 'no']","['yes', 'no']"
54,32,preprocessed/img\img_train\abstract_v002_train2015_000000000032.png,320,"What is the smaller version of the thing under the man's feet, often found at the doorstep, called?","['what', 'is', 'the', 'smaller', 'version', 'of', 'the', 'thing', 'under', 'the', 'man', ""'"", 's', 'feet', ',', 'often', 'found', 'at', 'the', 'doorstep', ',', 'called', '?']","['welcome mat', 'doormat', 'rug', 'mat']","['welcome mat', 'doormat', 'rug', 'mat']"
55,32,preprocessed/img\img_train\abstract_v002_train2015_000000000032.png,321,How many pictures are there?,"['how', 'many', 'pictures', 'are', 'there', '?']",['2'],['2']
56,32,preprocessed/img\img_train\abstract_v002_train2015_000000000032.png,322,Is the man in the gray pants immature?,"['is', 'the', 'man', 'in', 'the', 'gray', 'pants', 'immature', '?']","['yes', 'no']","['yes', 'no']"
57,851,preprocessed/img\img_train\abstract_v002_train2015_000000000851.png,8512,Is there a painting above her head?,"['is', 'there', 'a', 'painting', 'above', 'her', 'head', '?']",['yes'],['yes']
58,851,preprocessed/img\img_train\abstract_v002_train2015_000000000851.png,8510,What is the woman holding in her hand?,"['what', 'is', 'the', 'woman', 'holding', 'in', 'her', 'hand', '?']","['teddy bear and robot', 'teddy bear', 'toys', 'bear']","['bear', 'teddy bear', 'toys', 'teddy bear and robot']"
59,851,preprocessed/img\img_train\abstract_v002_train2015_000000000851.png,8511,What color is the tablecloth?,"['what', 'color', 'is', 'the', 'tablecloth', '?']",['white'],['white']
60,2750,preprocessed/img\img_train\abstract_v002_train2015_000000002750.png,27500,What color is the sun?,"['what', 'color', 'is', 'the', 'sun', '?']",['yellow'],['yellow']
61,2750,preprocessed/img\img_train\abstract_v002_train2015_000000002750.png,27501,How many women are there?,"['how', 'many', 'women', 'are', 'there', '?']",['2'],['2']
62,2750,preprocessed/img\img_train\abstract_v002_train2015_000000002750.png,27502,Do they have matching shirts?,"['do', 'they', 'have', 'matching', 'shirts', '?']",['no'],['no']
63,425,preprocessed/img\img_train\abstract_v002_train2015_000000000425.png,4250,How many animals are in the room?,"['how', 'many', 'animals', 'are', 'in', 'the', 'room', '?']","['1', '2']","['1', '2']"
64,425,preprocessed/img\img_train\abstract_v002_train2015_000000000425.png,4251,What is on the coffee table?,"['what', 'is', 'on', 'the', 'coffee', 'table', '?']","['food', 'desert', 'dessert', 'banana split', 'ice cream', 'sundae', 'cupcake']","['food', 'desert', 'dessert', 'banana split', 'ice cream', 'sundae', 'cupcake']"
65,425,preprocessed/img\img_train\abstract_v002_train2015_000000000425.png,4252,How many boys are there?,"['how', 'many', 'boys', 'are', 'there', '?']","['1', '2']","['1', '2']"
66,1967,preprocessed/img\img_train\abstract_v002_train2015_000000001967.png,19672,Is the boy sitting on the man?,"['is', 'the', 'boy', 'sitting', 'on', 'the', 'man', '?']","['yes', 'playing']","['yes', 'playing']"
67,1967,preprocessed/img\img_train\abstract_v002_train2015_000000001967.png,19670,Can the bear roar?,"['can', 'the', 'bear', 'roar', '?']",['no'],['no']
68,1967,preprocessed/img\img_train\abstract_v002_train2015_000000001967.png,19671,How many logs are in the fireplace?,"['how', 'many', 'logs', 'are', 'in', 'the', 'fireplace', '?']",['2'],['2']
69,2680,preprocessed/img\img_train\abstract_v002_train2015_000000002680.png,26800,Is the woman expecting a guest?,"['is', 'the', 'woman', 'expecting', 'a', 'guest', '?']","['yes', 'no']","['yes', 'no']"
70,2680,preprocessed/img\img_train\abstract_v002_train2015_000000002680.png,26801,Is the weather outside cold?,"['is', 'the', 'weather', 'outside', 'cold', '?']","['yes', 'maybe']","['yes', 'maybe']"
71,2680,preprocessed/img\img_train\abstract_v002_train2015_000000002680.png,26802,Does the food look good?,"['does', 'the', 'food', 'look', 'good', '?']",['yes'],['yes']
72,2551,preprocessed/img\img_train\abstract_v002_train2015_000000002551.png,25512,What color is the dog?,"['what', 'color', 'is', 'the', 'dog', '?']",['white'],['white']
73,2551,preprocessed/img\img_train\abstract_v002_train2015_000000002551.png,25510,What did the man throw?,"['what', 'did', 'the', 'man', 'throw', '?']",['bone'],['bone']
74,2551,preprocessed/img\img_train\abstract_v002_train2015_000000002551.png,25511,Do the drapes have floral print?,"['do', 'the', 'drapes', 'have', 'floral', 'print', '?']",['yes'],['yes']
75,2932,preprocessed/img\img_train\abstract_v002_train2015_000000002932.png,29320,Is the bike in danger?,"['is', 'the', 'bike', 'in', 'danger', '?']","['yes', 'no']","['yes', 'no']"
76,2932,preprocessed/img\img_train\abstract_v002_train2015_000000002932.png,29321,What color is the man's shirt?,"['what', 'color', 'is', 'the', 'man', ""'"", 's', 'shirt', '?']","['black', 'green']","['black', 'green']"
77,2932,preprocessed/img\img_train\abstract_v002_train2015_000000002932.png,29322,Are the trees bare?,"['are', 'the', 'trees', 'bare', '?']",['no'],['no']
78,1971,preprocessed/img\img_train\abstract_v002_train2015_000000001971.png,19712,How many bushes?,"['how', 'many', 'bushes', '?']",['2'],['2']
79,1971,preprocessed/img\img_train\abstract_v002_train2015_000000001971.png,19710,Can the second woman fit on the bench also?,"['can', 'the', 'second', 'woman', 'fit', 'on', 'the', 'bench', 'also', '?']",['yes'],['yes']
80,1971,preprocessed/img\img_train\abstract_v002_train2015_000000001971.png,19711,What is the younger woman sitting atop?,"['what', 'is', 'the', 'younger', 'woman', 'sitting', 'atop', '?']",['log'],['log']
81,2446,preprocessed/img\img_train\abstract_v002_train2015_000000002446.png,24460,Is that man going to kick the soccer ball later?,"['is', 'that', 'man', 'going', 'to', 'kick', 'the', 'soccer', 'ball', 'later', '?']","['yes', 'no']","['yes', 'no']"
82,2446,preprocessed/img\img_train\abstract_v002_train2015_000000002446.png,24461,What is the man grilling?,"['what', 'is', 'the', 'man', 'grilling', '?']","['marshmallow', 'nothing']","['marshmallow', 'nothing']"
83,2446,preprocessed/img\img_train\abstract_v002_train2015_000000002446.png,24462,Is the tree in the picture an adult tree?,"['is', 'the', 'tree', 'in', 'the', 'picture', 'an', 'adult', 'tree', '?']","['yes', 'no']","['yes', 'no']"
84,2984,preprocessed/img\img_train\abstract_v002_train2015_000000002984.png,29840,Who is taller the male or the female human?,"['who', 'is', 'taller', 'the', 'male', 'or', 'the', 'female', 'human', '?']",['female'],['female']
85,2984,preprocessed/img\img_train\abstract_v002_train2015_000000002984.png,29841,Is the little boy trying to imitate what the older woman is doing?,"['is', 'the', 'little', 'boy', 'trying', 'to', 'imitate', 'what', 'the', 'older', 'woman', 'is', 'doing', '?']",['yes'],['yes']
86,2984,preprocessed/img\img_train\abstract_v002_train2015_000000002984.png,29842,How many chairs?,"['how', 'many', 'chairs', '?']",['2'],['2']
87,235,preprocessed/img\img_train\abstract_v002_train2015_000000000235.png,2352,Whose animals are this?,"['whose', 'animals', 'are', 'this', '?']","['girl', ""girl's"", ""grandma's"", 'girls']","['girl', 'girls']"
88,235,preprocessed/img\img_train\abstract_v002_train2015_000000000235.png,2350,What color is the dog on the left?,"['what', 'color', 'is', 'the', 'dog', 'on', 'the', 'left', '?']","['tan', 'yellow', 'orange', 'tan and white', 'orange and white', 'brown and white', 'brown']","['yellow', 'tan', 'orange', 'tan and white', 'orange and white', 'brown and white', 'brown']"
89,235,preprocessed/img\img_train\abstract_v002_train2015_000000000235.png,2351,How many cats are sleeping on the rug?,"['how', 'many', 'cats', 'are', 'sleeping', 'on', 'the', 'rug', '?']","['4', '1', '2', '3']","['4', '1', '2', '3']"
90,3293,preprocessed/img\img_train\abstract_v002_train2015_000000003293.png,32930,What is the man doing with the bottle of wine?,"['what', 'is', 'the', 'man', 'doing', 'with', 'the', 'bottle', 'of', 'wine', '?']","['holding it', 'holding', 'walking', 'drinking', 'carrying']","['holding it', 'holding', 'walking', 'drinking', 'carrying']"
91,3293,preprocessed/img\img_train\abstract_v002_train2015_000000003293.png,32931,Is there cat hair on the sofa?,"['is', 'there', 'cat', 'hair', 'on', 'the', 'sofa', '?']","['yes', 'no', 'probably']","['yes', 'no', 'probably']"
92,3293,preprocessed/img\img_train\abstract_v002_train2015_000000003293.png,32932,Where is the yellow cat sitting?,"['where', 'is', 'the', 'yellow', 'cat', 'sitting', '?']","['on mantle', 'mantle', 'mantel', 'on fireplace', 'fireplace']","['on mantle', 'mantle', 'mantel', 'on fireplace', 'fireplace']"
93,512,preprocessed/img\img_train\abstract_v002_train2015_000000000512.png,5120,What is the child on?,"['what', 'is', 'the', 'child', 'on', '?']","['chair', 'blue chair']","['chair', 'blue chair']"
94,512,preprocessed/img\img_train\abstract_v002_train2015_000000000512.png,5121,What color is the couch?,"['what', 'color', 'is', 'the', 'couch', '?']",['red'],['red']
95,512,preprocessed/img\img_train\abstract_v002_train2015_000000000512.png,5122,What color is the chair?,"['what', 'color', 'is', 'the', 'chair', '?']","['red', 'blue']","['red', 'blue']"
96,2516,preprocessed/img\img_train\abstract_v002_train2015_000000002516.png,25160,Is there more than 1 mushroom?,"['is', 'there', 'more', 'than', '1', 'mushroom', '?']",['yes'],['yes']
97,2516,preprocessed/img\img_train\abstract_v002_train2015_000000002516.png,25161,What is growing in the area?,"['what', 'is', 'growing', 'in', 'the', 'area', '?']","['mushroom', 'mushrooms']","['mushroom', 'mushrooms']"
98,2516,preprocessed/img\img_train\abstract_v002_train2015_000000002516.png,25162,Is the man dancing?,"['is', 'the', 'man', 'dancing', '?']","['yes', 'no']","['yes', 'no']"
99,1628,preprocessed/img\img_train\abstract_v002_train2015_000000001628.png,16280,What kind of bird is in the sky?,"['what', 'kind', 'of', 'bird', 'is', 'in', 'the', 'sky', '?']",['eagle'],['eagle']
100,1628,preprocessed/img\img_train\abstract_v002_train2015_000000001628.png,16281,What are the people doing?,"['what', 'are', 'the', 'people', 'doing', '?']","['having picnic', 'laughing', 'picnic', 'having lunch', 'waving', 'picnicking']","['having picnic', 'laughing', 'picnic', 'having lunch', 'waving', 'picnicking']"
101,1628,preprocessed/img\img_train\abstract_v002_train2015_000000001628.png,16282,How old is the baby?,"['how', 'old', 'is', 'the', 'baby', '?']","['3 years', '6 months', '1', '2', 'my best guess is 1', '1 year']","['3 years', '6 months', '1', '2', 'my best guess is 1', '1 year']"
102,3486,preprocessed/img\img_train\abstract_v002_train2015_000000003486.png,34860,What is the white animal in front of the plant?,"['what', 'is', 'the', 'white', 'animal', 'in', 'front', 'of', 'the', 'plant', '?']",['cat'],['cat']
103,3486,preprocessed/img\img_train\abstract_v002_train2015_000000003486.png,34861,What is in the woman's hand?,"['what', 'is', 'in', 'the', 'woman', ""'"", 's', 'hand', '?']","['glass', 'red cup', 'cup']","['glass', 'red cup', 'cup']"
104,3486,preprocessed/img\img_train\abstract_v002_train2015_000000003486.png,34862,What is in the front corner of the room?,"['what', 'is', 'in', 'the', 'front', 'corner', 'of', 'the', 'room', '?']","['coat tree', 'coat hanger', 'jacket stand', 'coat rack']","['coat tree', 'coat hanger', 'jacket stand', 'coat rack']"
105,2675,preprocessed/img\img_train\abstract_v002_train2015_000000002675.png,26752,Is the lady sleeping?,"['is', 'the', 'lady', 'sleeping', '?']",['no'],['no']
106,2675,preprocessed/img\img_train\abstract_v002_train2015_000000002675.png,26750,How many people are there?,"['how', 'many', 'people', 'are', 'there', '?']",['1'],['1']
107,2675,preprocessed/img\img_train\abstract_v002_train2015_000000002675.png,26751,Is the woman doing yoga?,"['is', 'the', 'woman', 'doing', 'yoga', '?']","['yes', 'no', 'no sure']","['yes', 'no', 'no sure']"
108,2933,preprocessed/img\img_train\abstract_v002_train2015_000000002933.png,29330,Where is the yellow pail?,"['where', 'is', 'the', 'yellow', 'pail', '?']","['yes', 'sandbox']","['yes', 'sandbox']"
109,2933,preprocessed/img\img_train\abstract_v002_train2015_000000002933.png,29331,What color is the sidewalk?,"['what', 'color', 'is', 'the', 'sidewalk', '?']",['gray'],['gray']
110,2933,preprocessed/img\img_train\abstract_v002_train2015_000000002933.png,29332,Is the child interested in the sandbox?,"['is', 'the', 'child', 'interested', 'in', 'the', 'sandbox', '?']","['yes', 'no']","['yes', 'no']"
111,3054,preprocessed/img\img_train\abstract_v002_train2015_000000003054.png,30540,Is the girl going to kick the ball to the woman?,"['is', 'the', 'girl', 'going', 'to', 'kick', 'the', 'ball', 'to', 'the', 'woman', '?']",['yes'],['yes']
112,3054,preprocessed/img\img_train\abstract_v002_train2015_000000003054.png,30541,What is the girl's hairstyle?,"['what', 'is', 'the', 'girl', ""'"", 's', 'hairstyle', '?']","['braids', 'pigtail braids', 'pigtails']","['braids', 'pigtail braids', 'pigtails']"
113,3054,preprocessed/img\img_train\abstract_v002_train2015_000000003054.png,30542,How many clouds are there?,"['how', 'many', 'clouds', 'are', 'there', '?']",['1'],['1']
114,3555,preprocessed/img\img_train\abstract_v002_train2015_000000003555.png,35552,Is the person near the table trying to have some tea?,"['is', 'the', 'person', 'near', 'the', 'table', 'trying', 'to', 'have', 'some', 'tea', '?']",['yes'],['yes']
115,3555,preprocessed/img\img_train\abstract_v002_train2015_000000003555.png,35550,What is the woman bringing to the table?,"['what', 'is', 'the', 'woman', 'bringing', 'to', 'the', 'table', '?']","['plate', 'not clear', 'pie', 'bread']","['plate', 'not clear', 'bread', 'pie']"
116,3555,preprocessed/img\img_train\abstract_v002_train2015_000000003555.png,35551,How many chairs are there?,"['how', 'many', 'chairs', 'are', 'there', '?']","['2', '3']","['2', '3']"
117,3400,preprocessed/img\img_train\abstract_v002_train2015_000000003400.png,34000,Is there anything on the table?,"['is', 'there', 'anything', 'on', 'the', 'table', '?']",['no'],['no']
118,3400,preprocessed/img\img_train\abstract_v002_train2015_000000003400.png,34001,Do they look happy?,"['do', 'they', 'look', 'happy', '?']",['yes'],['yes']
119,3400,preprocessed/img\img_train\abstract_v002_train2015_000000003400.png,34002,Is the table supported by two legs?,"['is', 'the', 'table', 'supported', 'by', 'two', 'legs', '?']","['yes', 'no']","['yes', 'no']"
120,729,preprocessed/img\img_train\abstract_v002_train2015_000000000729.png,7290,Is the boy kicking with his left foot?,"['is', 'the', 'boy', 'kicking', 'with', 'his', 'left', 'foot', '?']","['yes', 'soccer ball']","['yes', 'soccer ball']"
121,729,preprocessed/img\img_train\abstract_v002_train2015_000000000729.png,7291,Can both boys play soccer?,"['can', 'both', 'boys', 'play', 'soccer', '?']",['yes'],['yes']
122,729,preprocessed/img\img_train\abstract_v002_train2015_000000000729.png,7292,What is in the sandbox?,"['what', 'is', 'in', 'the', 'sandbox', '?']","['bucket', 'pail and shovel', 'shovel and bucket', 'shovel, pail', 'toy shovel and toy bucket', 'shovel', 'sand', 'bucket and shovel', 'toys']","['bucket', 'pail and shovel', 'bucket and shovel', 'shovel', 'toy shovel and toy bucket', 'sand', 'shovel and bucket', 'toys']"
123,2298,preprocessed/img\img_train\abstract_v002_train2015_000000002298.png,22980,Does this boy have good upper body strength?,"['does', 'this', 'boy', 'have', 'good', 'upper', 'body', 'strength', '?']","['yes', 'no']","['yes', 'no']"
124,2298,preprocessed/img\img_train\abstract_v002_train2015_000000002298.png,22981,Is the girl riding the bike?,"['is', 'the', 'girl', 'riding', 'the', 'bike', '?']","['yes', 'no']","['yes', 'no']"
125,2298,preprocessed/img\img_train\abstract_v002_train2015_000000002298.png,22982,Is the cloud touching the monkey bars?,"['is', 'the', 'cloud', 'touching', 'the', 'monkey', 'bars', '?']",['no'],['no']
126,2698,preprocessed/img\img_train\abstract_v002_train2015_000000002698.png,26980,Is the boy looking out the window?,"['is', 'the', 'boy', 'looking', 'out', 'the', 'window', '?']","['yes', 'no']","['yes', 'no']"
127,2698,preprocessed/img\img_train\abstract_v002_train2015_000000002698.png,26981,What color is the wall?,"['what', 'color', 'is', 'the', 'wall', '?']","['mauve', 'tan', 'beige', 'light gray', 'natural']","['mauve', 'tan', 'beige', 'light gray', 'natural']"
128,2698,preprocessed/img\img_train\abstract_v002_train2015_000000002698.png,26982,Is the floor clean?,"['is', 'the', 'floor', 'clean', '?']",['yes'],['yes']
129,3256,preprocessed/img\img_train\abstract_v002_train2015_000000003256.png,32560,Where is the woman?,"['where', 'is', 'the', 'woman', '?']","['on chair', 'couch', 'in chair', 'chair']","['chair', 'couch', 'in chair', 'on chair']"
130,3256,preprocessed/img\img_train\abstract_v002_train2015_000000003256.png,32561,Does the bookcase hold a phone book?,"['does', 'the', 'bookcase', 'hold', 'a', 'phone', 'book', '?']","['yes', 'no', 'maybe']","['yes', 'no', 'maybe']"
131,3256,preprocessed/img\img_train\abstract_v002_train2015_000000003256.png,32562,Are both blue books slanted the same way?,"['are', 'both', 'blue', 'books', 'slanted', 'the', 'same', 'way', '?']",['no'],['no']
